attribute,gpkg,spatialite,notes
SAMPLE_F7_fidn,253934448,253934448,Feature 7 - fidn
SAMPLE_F7_fids,4044,4044,Feature 7 - fids
SAMPLE_F7_geometry,Point(1),Point(1),Feature 7 - geometry
SAMPLE_F7_grup,2,2,Feature 7 - grup
SAMPLE_F7_inform,None,None,Feature 7 - inform
SAMPLE_F7_lnam,02260F22BB700FCC,02260F22BB700FCC,Feature 7 - lnam
SAMPLE_F7_ninfom,None,None,Feature 7 - ninfom
SAMPLE_F7_nobjnm,None,None,Feature 7 - nobjnm
SAMPLE_F7_objl,36,36,Feature 7 - objl
SAMPLE_F7_objnam,Gulf Stream,Gulf Stream,Feature 7 - objnam
SAMPLE_F7_orient,97.5,97.5,Feature 7 - orient
SAMPLE_F7_perend,None,None,Feature 7 - perend
SAMPLE_F7_persta,None,None,Feature 7 - persta
SAMPLE_F7_prim,1,1,Feature 7 - prim
SAMPLE_F7_rcid,5236,5236,Feature 7 - rcid
SAMPLE_F7_recdat,None,None,Feature 7 - recdat
SAMPLE_F7_recind,None,None,Feature 7 - recind
SAMPLE_F7_rver,1,1,Feature 7 - rver
SAMPLE_F7_scamax,nan,nan,Feature 7 - scamax
SAMPLE_F7_scamin,9999999,9999999,Feature 7 - scamin
SAMPLE_F7_sordat,200303,200303,Feature 7 - sordat
SAMPLE_F7_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 7 - sorind
SAMPLE_FEATURE_8_SEPARATOR,--- FEATURE 8 ---,--- FEATURE 8 ---,Feature 8 sample
SAMPLE_F8_agen,550,550,Feature 8 - agen
SAMPLE_F8_curvel,nan,nan,Feature 8 - curvel
SAMPLE_F8_datend,None,None,Feature 8 - datend
SAMPLE_F8_datsta,None,None,Feature 8 - datsta
SAMPLE_F8_dsid_dsnm,US1GC09M,US1GC09M,Feature 8 - dsid_dsnm
SAMPLE_F8_dsid_edtn,65,65,Feature 8 - dsid_edtn
SAMPLE_F8_dsid_updn,5,5,Feature 8 - dsid_updn
SAMPLE_F8_fidn,253934495,253934495,Feature 8 - fidn
SAMPLE_F8_fids,4044,4044,Feature 8 - fids
SAMPLE_F8_geometry,Point(1),Point(1),Feature 8 - geometry
SAMPLE_F8_grup,2,2,Feature 8 - grup
SAMPLE_F8_inform,Approximate Axis of Gulf Stream,Approximate Axis of Gulf Stream,Feature 8 - inform
SAMPLE_F8_lnam,02260F22BB9F0FCC,02260F22BB9F0FCC,Feature 8 - lnam
SAMPLE_F8_ninfom,None,None,Feature 8 - ninfom
SAMPLE_F8_nobjnm,None,None,Feature 8 - nobjnm
SAMPLE_F8_objl,36,36,Feature 8 - objl
SAMPLE_F8_objnam,Gulf Stream,Gulf Stream,Feature 8 - objnam
